TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,CDS,PH,FE-JONS,EK-PCPE,POSI,UCE,F.N.,UNA,UV,E.U.,PREPAL,AA,LV-GV,DN,ATTKA/PACMA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPYD,I.FEM,PNV...(E09),SAIn,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
Bizkaia,IGORRE,,94,3,3390,1536,2,1534,9,1525,1854,130,50,1,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0,0,1,5,0,771,0,0,122,2,0,14,0,421
Gipuzkoa,IKAZTEGIETA,,44,3,352,179,,179,1,178,173,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,63,0,0,8,0,0,0,0,89
Gipuzkoa,IRUN,,45,2,47210,17834,75,17759,172,17587,29376,7487,3235,15,5,8,22,40,8,9,0,1,9,3,5,141,10,47,7,4,30,14,3,2,8,306,22,3168,1,11,792,22,7,376,15,1754
Gipuzkoa,IRURA,,46,3,1096,386,,386,8,378,710,36,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,114,0,1,50,0,0,2,0,158
Álava,IRURAIZ-GAUNA,,27,2,412,165,1,164,,164,247,18,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,57,0,0,5,0,0,1,0,41
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2224,776,3,773,10,763,1448,308,239,0,0,0,2,2,0,0,1,0,0,1,0,7,0,3,0,0,3,0,0,0,1,13,0,103,1,0,21,0,2,12,0,44
Bizkaia,ISPASTER,,49,4,574,311,2,309,,309,263,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,193,0,0,21,0,0,3,0,77
Gipuzkoa,ITSASONDO,,47,3,508,224,1,223,,223,284,15,5,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,63,0,0,28,0,0,3,0,103
Bizkaia,IURRETA,,910,3,3159,1373,3,1370,6,1364,1786,385,193,0,0,0,2,0,0,0,0,0,1,0,0,4,2,0,0,2,3,0,0,0,0,10,0,416,1,2,38,1,0,12,0,292
Bizkaia,IZURTZA,,50,3,218,126,1,125,,125,92,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,0,1,0,60
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2425,904,3,901,7,894,1521,144,68,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,4,0,503,0,0,38,0,0,12,1,118
Bizkaia,KORTEZUBI,,907,4,342,222,,222,1,221,120,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,0,0,12,0,0,0,0,71
Álava,KRIPAN,,19,2,155,93,,93,,93,62,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,0,0,2,0,0,0,0,3
Álava,KUARTANGO,,20,2,320,147,,147,,147,173,12,18,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,66,0,0,10,0,0,3,0,32
Álava,LABASTIDA/BASTIDA,,28,2,1135,531,3,528,2,526,604,104,190,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,9,0,97,0,0,24,1,0,29,3,64
Álava,LAGRÁN,,30,2,175,110,1,109,,109,65,24,44,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,31,0,0,2,0,0,0,0,2
Álava,LAGUARDIA,,31,2,1247,635,9,626,6,620,612,121,281,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,8,1,141,0,0,39,0,0,2,0,21
Álava,LANCIEGO/LANTZIEGO,,32,2,541,291,1,290,1,289,250,79,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,82,0,0,6,0,0,1,0,16
Bizkaia,LANESTOSA,,51,2,236,135,2,133,,133,101,29,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,4,0,64,0,0,0,0,0,2,0,9
Álava,LANTARÓN,,902,2,824,364,1,363,3,360,460,77,126,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,8,1,89,0,0,10,0,0,10,1,28
Álava,LAPUEBLA DE LABARCA,,33,2,701,403,1,402,2,400,298,91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,173,0,0,16,1,0,1,1,16
Bizkaia,LARRABETZU,,52,4,1500,926,1,925,1,924,574,31,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,426,0,0,54,0,0,12,0,375
Gipuzkoa,LARRAUL,,48,3,179,58,,58,,58,121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,8,0,0,1,0,36
Gipuzkoa,LASARTE-ORIA,,902,1,14298,6033,20,6013,50,5963,8265,2683,852,1,3,2,8,4,2,0,2,0,4,4,0,36,2,16,2,2,16,7,0,0,1,61,4,895,0,4,294,15,2,100,0,941
Álava,LAUDIO/LLODIO,,36,3,15378,6274,35,6239,44,6195,9104,1657,993,3,7,0,1,2,2,4,1,0,0,0,2,32,3,12,2,1,8,5,2,0,2,43,4,1901,3,0,287,9,0,79,4,1126
Bizkaia,LAUKIZ,,53,4,828,462,1,461,1,460,366,36,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,7,0,274,0,0,19,0,0,0,0,58
Gipuzkoa,LAZKAO,,49,3,4096,1768,4,1764,13,1751,2328,383,120,0,0,0,0,0,2,0,0,0,1,0,0,16,1,1,0,0,2,1,0,0,0,1,0,454,0,0,152,1,0,21,0,595
Gipuzkoa,LEABURU,,50,3,312,146,1,145,1,144,166,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,2,0,0,94
Gipuzkoa,LEGAZPI,,51,3,7167,2882,6,2876,26,2850,4285,768,262,0,0,1,5,3,0,0,0,0,1,2,0,11,7,3,0,2,2,0,0,0,0,8,1,885,1,1,227,8,1,49,1,601
Gipuzkoa,LEGORRETA,,52,3,1183,611,2,609,7,602,572,95,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,189,1,2,42,0,0,7,0,225
Álava,LEGUTIO,,58,2,1261,496,2,494,4,490,765,92,31,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,146,1,0,59,0,0,9,0,142
Gipuzkoa,LEINTZ-GATZAGA,,68,4,208,104,,104,,104,104,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,0,0,0,55
Bizkaia,LEIOA,,54,4,23599,10061,39,10022,85,9937,13538,2967,1593,4,1,0,10,10,2,1,1,0,3,4,2,96,1,24,0,1,44,14,0,3,4,213,6,3335,3,2,366,21,2,205,3,996
Bizkaia,LEKEITIO,,57,4,6069,3249,4,3245,9,3236,2820,107,78,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,1,0,1353,0,0,485,3,0,9,0,1186
Bizkaia,LEMOA,,55,3,2515,1332,16,1316,6,1310,1183,151,73,0,2,0,0,2,1,0,0,0,0,1,0,49,0,1,0,0,1,2,2,0,0,1,4,657,3,0,72,3,1,20,0,264
Bizkaia,LEMOIZ,,56,4,834,384,4,380,1,379,450,22,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,216,0,0,28,1,0,6,0,92
Álava,LEZA,,34,2,174,99,,99,2,97,75,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,1,11,0,0,0,0,17
Bizkaia,LEZAMA,,81,4,1944,992,3,989,2,987,952,94,54,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,6,0,568,1,0,62,0,0,8,0,186
Gipuzkoa,LEZO,,53,2,4859,1580,5,1575,9,1566,3279,317,82,0,1,0,0,2,0,0,0,0,0,1,2,10,1,4,0,1,1,1,0,0,0,13,1,286,0,1,108,4,0,23,0,707
Gipuzkoa,LIZARTZA,,54,3,497,300,2,298,1,297,197,4,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,9,0,0,0,0,221
Bizkaia,LOIU,,903,4,1775,996,2,994,4,990,779,82,149,0,0,0,1,1,0,0,0,0,1,0,0,5,0,1,1,0,4,2,0,0,0,19,1,606,0,0,42,0,0,1,0,74
Bizkaia,MALLABIA,,58,3,984,465,4,461,2,459,519,62,23,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,157,0,0,17,1,0,1,0,191
Bizkaia,MARKINA-XEMEIN,,60,4,3685,1516,2,1514,5,1509,2169,67,52,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,1,0,1,0,0,0,2,0,731,1,0,161,4,0,14,1,466
Bizkaia,MARURI-JATABE,,61,4,737,404,1,403,2,401,333,36,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,222,0,0,37,0,0,7,0,73
Bizkaia,MAÑARIA,,59,3,413,246,,246,2,244,167,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132,0,0,15,0,0,2,0,83
Gipuzkoa,MENDARO,,901,4,1482,553,1,552,4,548,929,111,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,1,219,1,0,65,0,0,6,0,112
Bizkaia,MENDATA,,62,4,313,177,,177,,177,136,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110,0,0,19,0,0,1,0,39
Bizkaia,MENDEXA,,63,4,358,200,,200,3,197,158,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,0,0,12,0,0,1,0,104
Bizkaia,MEÑAKA,,64,4,570,339,1,338,1,337,231,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,163,0,0,59,0,0,2,0,89
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,223,131,2,129,,129,92,56,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,27,0,0,3,0,0,2,0,3
Bizkaia,MORGA,,66,4,360,189,,189,1,188,171,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,142,0,0,8,0,0,0,0,32
Bizkaia,MUNDAKA,,68,4,1578,903,1,902,4,898,675,36,11,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,582,0,0,78,1,0,2,0,185
Bizkaia,MUNGIA,,69,4,12174,5448,12,5436,23,5413,6726,659,511,0,0,0,4,0,0,0,1,0,2,2,0,27,1,8,1,1,10,2,1,1,1,53,1,3045,0,2,348,4,0,74,1,653
Álava,MUNICIPIO CERA ARABA,,999,99,3455,449,,449,1,448,3006,162,115,0,1,0,1,3,0,0,0,0,0,0,0,10,0,4,0,1,3,3,0,3,0,9,2,85,0,3,11,2,1,12,0,17
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,23301,2599,12,2587,34,2553,20702,901,484,1,5,2,7,6,0,2,3,0,2,2,0,37,5,36,1,0,18,9,0,2,6,52,10,742,0,3,62,1,1,51,0,102
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,16455,1860,16,1844,1,1843,14595,648,255,4,0,0,4,1,2,0,1,1,0,0,0,32,0,24,2,1,13,5,0,0,4,51,6,466,0,1,118,4,0,27,1,172
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,349,188,,188,,188,161,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,97,1,0,12,0,0,0,0,71
Bizkaia,MURUETA,,908,4,243,151,1,150,,150,92,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,86,0,0,9,0,0,0,0,39
Bizkaia,MUSKIZ,,71,2,5954,2617,8,2609,32,2577,3337,787,182,2,0,0,3,1,0,0,0,0,0,0,0,10,1,8,2,0,5,1,2,0,1,14,1,1041,1,0,192,1,0,42,1,279
Gipuzkoa,MUTILOA,,57,3,189,58,,58,,58,131,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,29
Gipuzkoa,MUTRIKU,,56,4,3989,1683,7,1676,13,1663,2306,94,85,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,5,0,720,1,0,142,2,0,11,0,594
Bizkaia,MUXIKA,,67,4,1227,630,1,629,1,628,597,22,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,329,1,0,62,2,0,2,0,201
Bizkaia,NABARNIZ,,909,4,200,134,,134,2,132,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,6,0,0,1,0,60
Álava,NAVARIDAS,,41,2,161,86,,86,,86,75,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,0,0,2,0,0,0,0,0
Gipuzkoa,OIARTZUN,,63,2,7867,3172,7,3165,16,3149,4695,257,143,0,1,0,1,2,1,0,0,0,2,3,0,16,0,4,0,0,1,1,0,0,0,18,3,688,3,0,249,15,0,27,1,1713
Álava,OKONDO,,42,3,870,381,2,379,,379,489,13,45,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,191,0,0,50,0,0,1,0,75
Gipuzkoa,OLABERRIA,,58,3,780,331,1,330,3,327,449,97,32,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,90,0,0,32,0,0,2,1,69
Bizkaia,ONDARROA,,73,4,7216,3654,12,3642,13,3629,3562,166,180,1,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,2,1,1318,1,0,269,1,0,8,0,1671
Gipuzkoa,ORDIZIA,,76,3,7020,3108,5,3103,21,3082,3912,728,266,0,0,0,2,4,3,0,2,1,3,0,0,5,0,3,0,0,3,2,1,1,0,16,3,775,0,1,301,2,0,61,0,899
Gipuzkoa,ORENDAIN,,905,3,150,78,,78,,78,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,8,0,0,1,0,43
Gipuzkoa,OREXA,,60,3,95,68,,68,2,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,60
Gipuzkoa,ORIO,,61,4,3869,1522,4,1518,7,1511,2347,191,54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,2,1,687,3,2,130,2,0,13,1,419
Gipuzkoa,ORMAIZTEGI,,62,3,1017,424,2,422,1,421,593,43,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,158,0,0,57,1,0,3,0,137
Bizkaia,OROZKO,,75,3,1898,956,2,954,2,952,942,48,73,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,3,1,606,0,0,50,1,0,7,0,155
Bizkaia,ORTUELLA,,83,2,7199,3094,15,3079,12,3067,4105,1254,223,3,2,2,5,4,2,0,0,0,1,0,1,12,2,3,0,0,20,2,0,1,0,27,2,1053,0,2,111,6,1,68,0,260
Bizkaia,OTXANDIO,,72,3,996,568,,568,2,566,428,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,227,0,0,38,0,1,3,0,238
Álava,OYÓN-OION,,43,2,2325,960,1,959,3,956,1365,322,347,0,0,0,4,1,0,2,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,11,1,146,0,0,24,0,1,9,1,79
Gipuzkoa,OÑATI,,59,4,8785,3513,11,3502,7,3495,5272,380,194,1,0,0,2,4,0,1,0,0,0,0,0,12,0,1,0,0,6,2,0,0,1,4,4,1441,0,0,408,12,1,50,1,970
Gipuzkoa,PASAIA,,64,2,12572,4461,19,4442,41,4401,8111,1279,473,0,1,1,4,5,2,0,0,1,1,2,1,17,1,10,1,1,5,11,0,0,1,42,1,784,0,2,313,9,2,97,1,1333
Álava,PEÑACERRADA-URIZAHARRA,,44,2,257,123,,123,1,122,134,32,31,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,27,0,0,5,0,0,2,0,19
Bizkaia,PLENTZIA,,77,4,3373,1609,4,1605,10,1595,1764,191,167,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,3,4,0,0,0,13,1,797,0,0,125,6,1,19,0,255
Bizkaia,PORTUGALETE,,78,2,40778,16901,67,16834,120,16714,23877,7091,2877,9,5,1,10,15,5,2,1,0,5,4,0,81,3,38,3,1,33,12,1,5,2,224,13,3881,5,2,397,19,2,501,12,1454
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,883,380,4,376,8,368,503,102,141,0,0,1,1,2,0,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,12,0,79,0,0,5,0,0,5,2,11
Álava,SAMANIEGO,,52,2,233,144,,144,,144,89,46,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,53,0,0,7,2,0,3,0,15
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,608,164,1,163,,163,444,17,23,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,57,0,0,10,0,0,4,0,46
Bizkaia,SANTURTZI,,82,2,38979,15319,46,15273,132,15141,23660,6058,2196,3,5,4,22,6,7,3,3,1,3,3,3,70,4,28,0,2,34,14,0,2,1,188,12,3943,4,2,324,7,1,391,8,1789
Gipuzkoa,SEGURA,,70,3,1094,513,1,512,5,507,581,17,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,169,0,0,65,0,0,3,0,243
Bizkaia,SESTAO,,84,2,24341,9547,48,9499,73,9426,14794,4235,1403,5,3,3,8,10,1,2,1,0,1,2,3,64,4,23,2,0,25,13,2,1,0,75,7,2057,6,5,248,11,1,303,5,897
Bizkaia,SONDIKA,,904,4,3579,1844,4,1840,19,1821,1735,288,172,0,0,0,2,0,0,0,0,0,0,0,0,11,1,0,0,1,2,0,0,0,0,13,2,1048,0,0,76,0,0,26,0,179
Bizkaia,SOPELA,,85,4,9680,3921,11,3910,33,3877,5759,702,275,0,1,0,6,0,0,1,0,0,2,1,0,38,0,97,1,0,10,2,1,0,2,50,5,1534,0,0,240,7,0,109,2,791
Bizkaia,SOPUERTA,,86,2,2072,852,10,842,6,836,1220,170,65,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,6,0,332,1,0,129,1,0,12,0,112
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3253,1525,2,1523,8,1515,1728,343,186,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,1,366,0,1,140,3,0,9,0,456
Bizkaia,SUKARRIETA,,76,4,304,206,,206,,206,98,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,118,0,0,18,0,0,3,0,49
Gipuzkoa,TOLOSA,,71,3,14393,5593,13,5580,26,5554,8800,896,491,5,3,0,2,8,0,1,0,0,0,1,1,23,0,10,0,0,15,8,0,1,1,19,2,1812,0,1,527,2,1,81,2,1641
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,457,233,1,232,1,231,224,28,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,129,0,1,11,0,0,0,0,29
Bizkaia,UBIDE,,88,3,131,82,1,81,,81,49,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,1,0,41
Bizkaia,UGAO-MIRABALLES,,65,3,3303,1505,2,1503,7,1496,1798,296,130,0,0,0,2,0,0,1,0,0,0,0,0,6,0,2,0,0,5,0,0,0,0,10,2,609,0,0,76,2,0,21,0,334
Bizkaia,URDULIZ,,89,4,2714,1260,14,1246,8,1238,1454,191,74,1,0,0,0,0,1,0,1,0,0,0,0,4,1,2,0,0,0,0,0,0,0,18,1,590,0,0,88,2,1,19,0,244
Bizkaia,URDUÑA/ORDUÑA,,74,3,3417,1641,13,1628,8,1620,1776,247,192,0,1,0,0,1,1,1,0,1,0,0,0,5,0,1,0,1,3,2,0,0,0,13,0,666,1,1,86,2,0,22,0,373
Álava,URKABUSTAIZ,,54,2,912,400,,400,1,399,512,59,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,121,0,0,17,0,0,6,0,147
Gipuzkoa,URNIETA,,72,1,4667,1575,4,1571,15,1556,3092,509,162,1,1,1,0,0,0,0,0,0,1,0,0,10,0,1,1,0,2,0,0,0,1,12,0,383,0,0,116,1,0,24,1,329
Gipuzkoa,URRETXU,,77,3,5472,2376,6,2370,19,2351,3096,697,175,2,1,0,0,2,1,1,0,0,1,2,1,9,3,3,0,0,1,5,1,0,1,5,2,640,0,0,221,2,0,41,2,532
Gipuzkoa,USURBIL,,73,1,4677,1799,7,1792,8,1784,2878,274,95,0,3,0,1,0,0,0,0,0,0,0,0,13,0,7,1,0,1,0,0,0,1,4,1,369,1,0,195,3,0,19,0,796
Álava,VALDEGOVÍA/GAUBEA,,55,2,935,431,1,430,1,429,504,98,136,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,4,2,117,0,0,10,0,0,6,0,49
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10381,4334,51,4283,35,4248,6047,1784,384,1,0,0,4,3,0,0,0,0,1,0,0,20,0,13,1,0,19,7,1,1,0,41,3,1336,1,0,115,2,1,103,1,406
Gipuzkoa,VILLABONA,,75,3,4507,1546,3,1543,13,1530,2961,279,113,2,3,0,2,1,1,0,0,0,1,0,0,7,0,1,0,0,1,1,0,0,0,14,1,354,0,0,132,4,0,18,0,595
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,270,174,1,173,2,171,96,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,0,9,0,0,2,0,24
Álava,VITORIA-GASTEIZ,,59,1,182907,71204,381,70823,634,70189,111703,24559,19852,54,35,17,77,92,32,9,14,7,27,29,11,582,34,191,24,9,242,65,27,15,27,2021,74,10852,45,17,3006,66,13,1486,99,6479
Álava,YÉCORA/IEKORA,,60,2,250,140,1,139,2,137,110,19,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,1,0,0,1,0,4
Bizkaia,ZALDIBAR,,95,3,2390,977,4,973,8,965,1413,265,141,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,0,0,0,8,0,255,2,1,57,3,0,9,1,213
Gipuzkoa,ZALDIBIA,,78,3,1183,632,2,630,3,627,551,30,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117,0,0,73,9,0,7,0,383
Álava,ZALDUONDO,,61,2,154,90,1,89,1,88,64,21,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,28,0,0,6,0,0,2,0,19
Bizkaia,ZALLA,,96,2,6673,3442,40,3402,45,3357,3231,709,213,1,0,0,2,2,0,0,1,0,0,0,2,14,1,15,0,0,3,4,1,2,1,14,0,1935,0,1,153,0,3,29,1,250
Álava,ZAMBRANA,,62,2,313,145,1,144,,144,168,35,47,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7,0,43,1,1,1,0,0,0,0,3
Bizkaia,ZAMUDIO,,905,4,2604,1313,13,1300,10,1290,1291,192,78,0,1,0,2,2,1,0,0,0,1,0,0,2,0,3,0,1,2,1,0,0,0,6,0,690,1,1,40,1,0,18,1,246
Bizkaia,ZARATAMO,,97,3,1406,631,5,626,8,618,775,158,45,0,0,0,0,2,0,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,0,3,0,237,0,2,56,0,0,4,1,102
Gipuzkoa,ZARAUTZ,,79,4,17245,6867,21,6846,53,6793,10378,1426,671,2,2,0,1,4,2,0,0,0,0,0,0,33,0,5,1,1,4,2,0,0,2,61,6,2114,1,0,856,12,1,84,0,1502
Bizkaia,ZEANURI,,24,3,1057,635,2,633,2,631,422,16,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,348,0,0,89,2,0,4,0,156
Bizkaia,ZEBERIO,,25,3,875,455,1,454,2,452,420,11,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,261,0,0,23,0,0,4,0,143
Gipuzkoa,ZEGAMA,,25,3,1160,519,6,513,5,508,641,13,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,187,0,0,111,2,0,2,0,185
Gipuzkoa,ZERAIN,,26,3,209,114,,114,2,112,95,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,15,0,0,1,0,47
Gipuzkoa,ZESTOA,,27,4,2777,1224,2,1222,3,1219,1553,87,17,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,4,0,431,1,0,144,3,1,12,0,514
Bizkaia,ZIERBENA,,913,2,1190,587,1,586,5,581,603,97,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,329,0,0,18,0,0,6,0,97
Álava,ZIGOITIA,,18,2,1340,529,5,524,,524,811,122,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,4,0,139,0,0,59,0,0,8,0,125
Bizkaia,ZIORTZA - BOLIBAR,,915,4,349,185,,185,2,183,164,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,6,0,0,1,0,62
Gipuzkoa,ZIZURKIL,,28,3,2172,778,2,776,5,771,1394,143,53,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,1,0,0,0,3,1,180,1,0,59,1,0,8,2,312
Álava,ZUIA,,63,2,1736,821,7,814,8,806,915,140,126,1,1,0,1,2,1,0,1,0,0,0,0,6,0,0,0,0,4,3,1,0,0,21,0,297,0,0,53,0,0,13,0,135
