TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,PFYV,UPYD,EQUO,IU-UPEC,EB-AZ,O.E.,EH BILDU,PYC,HARTOS.ORG
Gipuzkoa,OIARTZUN,,63,2,7874,5358,13,5345,48,5297,2516,1361,164,53,0,,,1,317,10,1,,20,32,77,34,,3227,,
Álava,OKONDO,,42,3,907,669,9,660,8,652,238,304,39,9,1,,,0,16,0,1,,3,1,9,0,0,269,0,
Gipuzkoa,OLABERRIA,,58,3,765,509,1,508,5,503,256,170,35,4,0,,,0,96,3,0,,4,4,16,0,,171,,
Bizkaia,ONDARROA,,73,4,7090,4898,27,4871,39,4832,2192,1729,169,36,0,0,1,1,147,9,2,0,7,10,36,9,,2672,,4
Gipuzkoa,ORDIZIA,,76,3,6956,4679,22,4657,77,4580,2277,1576,266,56,5,,,3,709,15,13,,26,32,149,30,,1700,,
Gipuzkoa,ORENDAIN,,905,3,139,107,,107,1,106,32,32,0,0,0,,,0,1,0,1,,0,1,0,1,,70,,
Gipuzkoa,OREXA,,60,3,89,80,2,78,1,77,9,2,0,0,0,,,0,0,0,0,,0,0,0,0,,75,,
Gipuzkoa,ORIO,,61,4,4047,2729,9,2720,26,2694,1318,1302,55,29,1,,,0,175,5,3,,2,14,46,32,,1030,,
Gipuzkoa,ORMAIZTEGI,,62,3,990,714,,714,10,704,276,300,24,7,0,,,0,30,0,4,,3,3,4,8,,321,,
Bizkaia,OROZKO,,75,3,1936,1397,28,1369,16,1353,539,742,75,9,0,0,1,1,41,3,0,1,7,6,10,16,,437,,4
Bizkaia,ORTUELLA,,83,2,6998,4489,57,4432,65,4367,2509,1627,185,80,5,4,5,3,1214,19,14,3,52,19,166,29,,925,,17
Bizkaia,OTXANDIO,,72,3,1006,797,3,794,7,787,209,284,27,3,0,0,1,0,23,0,0,0,2,0,7,0,,440,,0
Álava,OYÓN-OION,,43,2,2307,1377,27,1350,14,1336,930,285,372,17,1,,,3,261,3,3,,53,14,49,5,0,270,0,
Gipuzkoa,OÑATI,,59,4,8846,6408,19,6389,50,6339,2438,2463,197,74,1,,,1,423,1,7,,7,27,97,31,,3010,,
Gipuzkoa,PASAIA,,64,2,12384,7124,60,7064,127,6937,5260,1913,525,117,12,,,6,1435,53,15,,126,63,297,128,,2247,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,236,157,1,156,1,155,79,49,32,3,0,,,0,15,0,0,,3,1,6,3,0,43,0,
Bizkaia,PLENTZIA,,77,4,3386,2467,16,2451,23,2428,919,1303,185,23,1,0,8,1,174,8,4,1,22,22,30,19,,615,,12
Bizkaia,PORTUGALETE,,78,2,39454,25123,229,24894,330,24564,14331,7410,2874,624,40,19,33,7,7725,85,43,18,519,212,997,206,,3635,,117
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,938,556,12,544,12,532,382,156,144,6,0,,,0,122,0,0,,16,9,14,6,0,59,0,
Álava,SAMANIEGO,,52,2,235,176,2,174,2,172,59,72,14,1,0,,,0,38,0,0,,1,2,2,1,0,41,0,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,600,350,4,346,3,343,250,128,31,7,2,,,0,13,0,1,,5,10,4,2,0,140,0,
Bizkaia,SANTURTZI,,82,2,38338,23854,188,23666,351,23315,14484,8335,2213,497,22,27,25,9,6154,71,55,37,358,142,944,171,,4179,,76
Gipuzkoa,SEGURA,,70,3,1100,833,3,830,5,825,267,329,5,3,0,,,0,18,3,0,,0,2,2,0,,463,,
Bizkaia,SESTAO,,84,2,23296,14127,141,13986,194,13792,9169,4405,1338,356,11,14,16,10,4172,56,23,27,155,78,646,159,,2261,,65
Bizkaia,SONDIKA,,904,4,3523,2645,27,2618,43,2575,878,1383,207,30,1,2,2,0,287,7,4,3,29,13,44,19,,537,,7
Bizkaia,SOPELA,,85,4,9982,6898,55,6843,97,6746,3084,2816,411,95,6,9,4,7,807,33,9,7,85,86,192,77,,2063,,39
Bizkaia,SOPUERTA,,86,2,2068,1408,10,1398,17,1381,660,657,55,22,1,1,1,1,150,3,0,6,15,8,27,9,,422,,3
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3112,2072,8,2064,21,2043,1040,613,158,22,0,,,0,407,5,1,,11,4,34,13,,775,,
Bizkaia,SUKARRIETA,,76,4,298,240,,240,1,239,58,145,6,2,0,0,0,0,9,0,0,0,0,0,3,7,,64,,3
Gipuzkoa,TOLOSA,,71,3,14599,9671,46,9625,123,9502,4928,3780,465,120,4,,,6,1051,26,13,,39,73,186,78,,3661,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,463,357,3,354,4,350,106,236,14,0,0,0,0,0,22,2,0,0,2,0,2,3,,68,,1
Bizkaia,UBIDE,,88,3,143,116,1,115,1,114,27,29,5,0,0,0,0,0,4,0,0,0,0,0,3,0,,73,,0
Bizkaia,UGAO-MIRABALLES,,65,3,3299,2328,27,2301,28,2273,971,1028,129,44,0,0,3,0,289,5,4,2,20,13,23,13,,691,,9
Bizkaia,URDULIZ,,89,4,2949,2151,14,2137,23,2114,798,972,120,37,3,0,1,0,222,7,1,2,26,20,46,16,,624,,17
Bizkaia,URDUÑA/ORDUÑA,,74,3,3360,2407,43,2364,20,2344,953,947,172,51,3,5,1,2,229,7,1,3,15,16,38,12,,832,,10
Álava,URKABUSTAIZ,,54,2,944,684,5,679,15,664,260,210,47,9,0,,,0,51,1,0,,3,17,8,9,0,309,0,
Gipuzkoa,URNIETA,,72,1,4647,2832,16,2816,43,2773,1815,932,149,29,4,,,3,639,12,7,,43,19,82,21,,833,,
Gipuzkoa,URRETXU,,77,3,5334,3659,18,3641,46,3595,1675,1296,174,71,3,,,1,734,13,5,,24,16,117,31,,1110,,
Gipuzkoa,USURBIL,,73,1,4669,3199,23,3176,44,3132,1470,799,94,36,2,,,4,313,11,5,,20,12,53,24,,1759,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,878,563,16,547,12,535,315,183,145,6,0,,,0,64,2,0,,7,9,7,5,0,106,1,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10067,6476,86,6390,91,6299,3591,2349,398,104,1,6,6,1,1763,26,7,9,90,21,256,44,,1183,,35
Gipuzkoa,VILLABONA,,75,3,4397,2816,14,2802,49,2753,1581,917,113,28,4,,,3,338,8,3,,17,8,69,21,,1224,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,255,193,1,192,1,191,62,83,26,1,0,,,0,7,0,0,,3,1,0,1,0,69,0,
Álava,VITORIA-GASTEIZ,,59,1,183640,117592,1764,115828,1734,114094,66048,25797,23921,1867,194,,,123,24756,534,563,,4665,3696,3702,1885,76,22263,52,
Álava,YÉCORA/IEKORA,,60,2,209,142,4,138,1,137,67,41,61,0,1,,,0,11,2,0,,6,1,3,1,0,10,0,
Bizkaia,ZALDIBAR,,95,3,2369,1459,14,1445,15,1430,910,425,124,18,0,2,3,0,284,1,2,3,18,9,25,8,,500,,8
Gipuzkoa,ZALDIBIA,,78,3,1156,889,5,884,10,874,267,216,7,5,2,,,0,44,1,2,,1,2,10,3,,581,,
Álava,ZALDUONDO,,61,2,151,127,2,125,3,122,24,51,4,2,0,,,0,10,2,3,,0,2,1,0,0,46,1,
Bizkaia,ZALLA,,96,2,6658,4828,96,4732,61,4671,1830,2599,220,110,5,4,4,5,608,17,7,9,52,17,61,16,,924,,13
Álava,ZAMBRANA,,62,2,330,193,1,192,4,188,137,54,61,0,0,,,0,34,0,0,,3,2,6,0,0,28,0,
Bizkaia,ZAMUDIO,,905,4,2583,1885,31,1854,18,1836,698,907,89,34,0,0,1,0,180,3,1,3,9,7,27,14,,555,,6
Bizkaia,ZARATAMO,,97,3,1345,897,7,890,7,883,448,351,45,15,1,2,0,0,133,1,0,1,6,2,19,11,,291,,5
Gipuzkoa,ZARAUTZ,,79,4,17258,11709,67,11642,146,11496,5549,4760,747,99,11,,,14,1479,30,19,,103,89,233,131,,3781,,
Bizkaia,ZEANURI,,24,3,1012,850,2,848,7,841,162,407,23,7,0,0,0,0,11,1,2,0,1,0,3,3,,379,,4
Bizkaia,ZEBERIO,,25,3,882,668,4,664,3,661,214,354,4,5,0,1,0,0,16,2,0,1,0,0,2,1,,273,,2
Gipuzkoa,ZEGAMA,,25,3,1162,832,5,827,7,820,330,365,3,6,0,,,0,8,4,1,,1,2,8,4,,418,,
Gipuzkoa,ZERAIN,,26,3,211,177,2,175,1,174,34,81,0,0,1,,,0,0,0,1,,1,1,0,0,,89,,
Gipuzkoa,ZESTOA,,27,4,2797,1924,6,1918,20,1898,873,748,19,18,0,,,1,71,4,5,,6,4,18,8,,996,,
Bizkaia,ZIERBENA,,913,2,1261,934,19,915,16,899,327,476,34,16,0,0,0,0,76,4,0,1,6,3,18,5,,258,,2
Álava,ZIGOITIA,,18,2,1396,936,14,922,13,909,460,289,108,13,0,,,1,87,5,0,,19,41,20,5,1,320,0,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,364,279,1,278,1,277,85,125,3,0,0,0,0,0,4,0,0,0,0,0,0,0,,144,,1
Gipuzkoa,ZIZURKIL,,28,3,2245,1440,7,1433,31,1402,805,439,58,16,1,,,3,189,4,3,,9,2,34,5,,639,,
Álava,ZUIA,,63,2,1809,1281,17,1264,38,1226,528,447,144,21,1,,,1,135,2,3,,27,37,13,24,1,370,0,
Gipuzkoa,ZUMAIA,,81,4,7393,4965,34,4931,54,4877,2428,1887,173,65,1,,,1,694,9,10,,29,39,110,43,,1816,,
Gipuzkoa,ZUMARRAGA,,80,3,8109,5199,40,5159,62,5097,2910,1482,345,96,7,,,6,1625,23,10,,42,23,172,23,,1243,,
