TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,EB-B,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE,CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
Bizkaia,KORTEZUBI,,907,4,325,229,47,182,,182,96,5,7,2,0,0,0,0,0,0,0,0,0,0,1,159,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Álava,KRIPAN,,19,2,158,97,5,92,2,90,61,4,22,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Álava,KUARTANGO,,20,2,328,161,21,140,,140,167,7,20,3,0,0,0,0,0,1,0,0,0,0,4,98,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0
Álava,LABASTIDA/BASTIDA,,28,2,1074,564,35,529,4,525,510,125,220,28,0,0,0,0,1,0,0,0,2,0,2,104,0,0,0,36,0,0,1,1,1,0,0,4,0,0,0,0
Álava,LAGRÁN,,30,2,184,109,1,108,1,107,75,14,51,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Álava,LAGUARDIA,,31,2,1239,729,18,711,4,707,510,125,370,7,0,0,1,1,0,0,0,0,2,0,1,170,0,0,0,26,0,0,1,0,1,1,0,1,0,0,0,0
Álava,LANCIEGO/LANTZIEGO,,32,2,537,304,8,296,,296,233,73,99,5,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,5,0,0,0,0,0,0,0,5,1,0,1,0
Bizkaia,LANESTOSA,,51,2,252,159,3,156,,156,93,37,21,1,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,4,0,0,0,1,0,0,0,10,0,0,1,0
Álava,LANTARÓN,,902,2,841,413,16,397,2,395,428,95,165,7,0,0,0,0,0,0,0,2,0,0,1,106,2,0,0,10,0,0,0,0,0,0,0,5,0,0,0,2
Álava,LAPUEBLA DE LABARCA,,33,2,706,463,8,455,1,454,243,94,120,3,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0
Bizkaia,LARRABETZU,,52,4,1356,881,301,580,1,579,475,33,29,16,0,0,0,0,0,0,0,0,0,0,10,459,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,LARRAUL,,48,3,131,50,22,28,,28,81,2,0,1,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14984,6541,829,5712,31,5681,8443,2795,1004,257,2,0,4,3,2,3,1,0,1,0,74,1066,4,1,1,375,0,2,6,1,2,7,0,41,0,0,2,27
Álava,LAUDIO/LLODIO,,36,3,16149,7236,1042,6194,39,6155,8913,1785,1243,193,4,1,1,1,6,1,2,5,3,0,54,2394,4,1,1,373,1,0,0,6,2,6,0,38,5,0,6,19
Bizkaia,LAUKIZ,,53,4,796,464,36,428,1,427,332,25,57,0,0,0,0,0,0,0,0,0,0,0,0,296,1,0,0,45,0,1,0,0,0,1,0,0,0,0,0,1
Gipuzkoa,LAZKAO,,49,3,4120,1918,489,1429,10,1419,2202,320,162,49,0,2,2,0,1,0,1,1,0,0,19,630,0,0,1,212,0,0,1,0,1,1,0,6,1,1,0,8
Gipuzkoa,LEABURU,,50,3,319,177,108,69,,69,142,0,4,2,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,7375,3284,489,2795,18,2777,4091,680,366,102,1,1,0,1,1,0,0,0,10,0,68,975,0,0,0,525,1,2,2,0,0,14,1,15,0,0,0,12
Gipuzkoa,LEGORRETA,,52,3,1150,611,163,448,3,445,539,72,33,11,0,0,1,0,0,0,0,0,0,0,10,265,0,0,0,44,0,0,0,0,0,1,2,2,0,0,0,4
Álava,LEGUTIO,,58,2,1240,530,132,398,,398,710,74,45,23,0,0,0,0,0,0,0,0,1,0,4,174,1,0,0,74,0,0,1,0,0,0,0,0,0,0,1,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,213,122,49,73,,73,91,1,1,3,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,5,0,0,0,0,0,1,0,4,0,0,0,0
Bizkaia,LEIOA,,54,4,23517,10704,787,9917,56,9861,12813,2809,1851,515,1,0,2,0,14,2,3,6,0,0,80,3977,12,2,0,446,1,1,35,3,5,8,4,38,1,0,4,41
Bizkaia,LEKEITIO,,57,4,6235,3439,1018,2421,11,2410,2796,79,99,31,0,0,0,0,0,0,0,0,0,0,39,1575,0,0,0,573,0,0,0,0,1,1,0,1,0,0,0,11
Bizkaia,LEMOA,,55,3,2339,1431,218,1213,5,1208,908,104,103,28,0,0,1,0,2,1,0,0,0,0,10,787,0,0,0,159,0,0,1,1,0,1,0,5,0,0,0,5
Bizkaia,LEMOIZ,,56,4,770,454,69,385,1,384,316,16,18,4,0,0,0,0,0,0,0,0,0,0,2,313,0,0,0,23,1,0,0,0,0,1,0,2,0,0,0,4
Álava,LEZA,,34,2,180,115,6,109,,109,65,20,19,3,0,0,0,1,0,0,0,0,0,0,1,41,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,1
Bizkaia,LEZAMA,,81,4,1831,1031,147,884,7,877,800,70,54,24,0,0,0,0,1,0,0,0,0,0,5,670,1,0,0,49,0,0,0,1,0,2,0,0,0,0,0,0
Gipuzkoa,LEZO,,53,2,4887,1723,613,1110,9,1101,3164,364,113,60,0,0,3,0,1,0,0,0,0,0,26,362,1,0,0,150,0,0,1,1,0,4,0,7,0,0,0,8
Gipuzkoa,LIZARTZA,,54,3,516,283,191,92,2,90,233,5,5,0,0,0,0,0,0,0,0,0,0,0,2,59,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2
Bizkaia,LOIU,,903,4,1666,1012,65,947,6,941,654,56,156,20,1,0,1,0,0,1,0,0,0,0,3,644,0,0,0,55,0,0,0,0,0,0,0,2,0,1,0,1
Bizkaia,MALLABIA,,58,3,950,503,163,340,2,338,447,54,27,6,0,0,0,0,0,0,0,0,0,0,7,221,0,1,0,15,1,0,0,0,0,0,1,0,0,1,0,4
Bizkaia,MARKINA-XEMEIN,,60,4,3922,1835,445,1390,5,1385,2087,47,77,29,0,0,0,0,0,0,0,0,0,0,15,1076,0,0,0,127,1,0,0,0,0,1,0,2,7,0,0,3
Bizkaia,MARURI-JATABE,,61,4,645,349,23,326,2,324,296,18,21,11,0,0,0,0,0,0,0,0,0,0,5,235,0,0,0,32,0,0,0,0,0,0,1,1,0,0,0,0
Bizkaia,MAÑARIA,,59,3,387,239,70,169,1,168,148,4,4,4,0,0,0,0,0,0,0,0,0,0,4,143,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1333,608,75,533,,533,725,87,43,10,0,0,0,0,0,0,0,0,0,0,13,305,1,1,0,63,0,0,0,0,0,0,0,9,0,0,0,1
Bizkaia,MENDATA,,62,4,298,211,26,185,1,184,87,3,6,0,0,0,0,0,0,0,0,0,0,0,2,131,0,0,0,40,0,0,0,0,0,2,0,0,0,0,0,0
Bizkaia,MENDEXA,,63,4,307,187,83,104,1,103,120,0,1,5,0,0,0,0,0,0,0,0,0,0,4,85,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0
Bizkaia,MEÑAKA,,64,4,482,337,61,276,1,275,145,3,6,4,0,0,0,0,0,0,0,0,0,0,6,171,0,0,0,82,0,0,0,0,0,1,0,1,0,0,0,1
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,233,161,1,160,,160,72,68,48,2,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
Bizkaia,MORGA,,66,4,361,237,30,207,,207,124,2,5,1,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1595,1010,178,832,2,830,585,26,19,15,0,0,0,0,1,0,0,0,0,0,9,642,1,0,0,111,0,0,0,0,0,1,0,1,0,0,0,4
Bizkaia,MUNGIA,,69,4,11443,5500,446,5054,21,5033,5943,523,595,115,0,0,2,0,2,2,0,2,1,0,51,3311,2,0,0,383,1,0,2,0,4,3,0,16,1,0,4,13
Álava,MUNICIPIO CERA ARABA,,999,99,3085,571,7,564,2,562,2514,168,166,23,1,0,0,0,1,0,0,0,0,0,2,152,0,0,0,18,0,0,4,2,0,1,3,2,11,0,1,7
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,20416,3870,42,3828,10,3818,16546,1207,784,122,6,1,7,0,3,1,2,3,4,3,32,1382,14,0,1,94,0,1,9,18,3,1,0,15,61,0,3,41
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,13560,2712,84,2628,20,2608,10848,888,468,46,5,2,2,2,1,1,6,1,1,1,70,857,13,0,1,133,0,2,10,6,1,2,0,21,36,0,4,28
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,322,202,64,138,,138,120,1,5,0,0,0,0,0,0,0,0,0,0,0,4,123,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
Bizkaia,MURUETA,,908,4,223,136,15,121,,121,87,4,4,2,0,0,0,0,0,0,0,0,0,0,3,97,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,MUSKIZ,,71,2,5619,2927,272,2655,22,2633,2692,680,200,121,0,0,1,1,4,0,0,0,0,1,12,1352,1,1,0,237,0,0,3,1,3,0,0,6,2,0,1,6
Gipuzkoa,MUTILOA,,57,3,134,59,25,34,1,33,75,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,3958,2047,670,1377,5,1372,1911,69,114,23,0,0,0,0,0,0,0,0,0,0,29,996,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,2
Bizkaia,MUXIKA,,67,4,1161,691,181,510,1,509,470,4,13,6,0,0,0,0,0,0,0,0,0,0,6,412,0,0,0,66,0,0,0,0,0,1,0,0,0,0,0,1
Bizkaia,NABARNIZ,,909,4,194,142,62,80,1,79,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,8,0,0,0,0,1,1,0,2,0,0,0,0
Álava,NAVARIDAS,,41,2,169,115,,115,,115,54,12,65,4,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Gipuzkoa,OIARTZUN,,63,2,7767,3243,1527,1716,14,1702,4524,185,175,87,0,0,0,0,0,1,0,0,0,0,73,714,0,0,0,448,0,0,0,0,1,1,0,8,1,0,0,8
Álava,OKONDO,,42,3,827,458,72,386,,386,369,19,43,5,0,0,0,0,0,0,0,0,0,0,5,229,0,0,0,79,0,0,3,0,0,1,0,0,1,1,0,0
Gipuzkoa,OLABERRIA,,58,3,797,346,63,283,,283,451,85,43,10,0,0,0,0,0,0,0,0,0,0,4,113,2,0,0,24,0,0,0,0,0,1,0,0,1,0,0,0
Bizkaia,ONDARROA,,73,4,7828,3974,1595,2379,14,2365,3854,132,241,66,0,5,1,0,0,0,0,1,0,0,82,1555,0,0,0,278,0,0,1,0,0,0,0,3,0,0,0,0
Gipuzkoa,ORDIZIA,,76,3,7259,3346,737,2609,9,2600,3913,676,403,136,0,5,0,1,2,1,0,1,0,0,61,903,1,0,0,385,0,0,0,0,2,4,0,10,0,1,3,5
Gipuzkoa,ORENDAIN,,905,3,138,68,26,42,,42,70,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,OREXA,,60,3,73,62,57,5,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,3727,1577,310,1267,5,1262,2150,168,75,29,0,0,1,0,0,0,0,0,0,0,36,756,1,0,0,184,0,0,2,0,0,0,0,6,0,0,1,3
Gipuzkoa,ORMAIZTEGI,,62,3,1015,525,138,387,2,385,490,35,16,8,0,0,0,0,0,0,0,0,0,0,8,235,0,0,0,77,0,0,1,1,1,0,0,1,0,0,0,2
Bizkaia,OROZKO,,75,3,1870,989,108,881,4,877,881,32,95,20,0,0,1,0,0,0,0,0,0,1,4,663,0,0,0,56,1,0,0,0,0,0,0,2,0,0,0,2
Bizkaia,ORTUELLA,,83,2,7337,3257,216,3041,14,3027,4080,1250,273,165,0,0,3,0,0,0,1,0,0,0,13,1072,3,1,0,219,0,0,0,0,0,0,2,15,1,0,3,6
Bizkaia,OTXANDIO,,72,3,899,541,170,371,3,368,358,22,45,9,0,0,0,0,0,0,1,0,0,0,19,244,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0
Álava,OYÓN-OION,,43,2,2197,1001,72,929,4,925,1196,284,386,21,0,0,0,0,1,0,0,0,0,2,2,178,0,0,0,33,0,0,0,0,6,1,0,7,0,0,0,4
Gipuzkoa,OÑATI,,59,4,8920,3891,845,3046,13,3033,5029,329,266,80,0,0,0,2,1,1,0,2,0,0,178,1682,0,0,0,466,0,0,1,0,0,3,0,12,1,0,2,7
Gipuzkoa,PASAIA,,64,2,13236,5017,1246,3771,20,3751,8219,1333,659,180,1,2,2,0,4,3,0,1,1,1,41,930,3,1,1,515,1,0,2,3,1,7,0,26,4,0,6,23
Álava,PEÑACERRADA-URIZAHARRA,,44,2,232,117,11,106,1,105,115,17,43,4,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
Bizkaia,PLENTZIA,,77,4,3201,1735,194,1541,10,1531,1466,156,199,48,0,0,0,0,0,0,0,0,0,0,18,951,1,0,0,147,1,0,1,2,0,0,0,3,1,0,1,2
Bizkaia,PORTUGALETE,,78,2,43741,19293,1150,18143,97,18046,24448,7358,3748,976,3,0,10,1,15,4,2,3,6,4,88,5033,18,1,0,590,1,4,13,3,8,8,6,43,10,1,15,74
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,777,356,6,350,2,348,421,106,133,10,0,0,0,0,0,1,0,1,0,0,1,80,0,1,1,10,0,0,0,0,0,0,0,2,0,0,0,2
Álava,SAMANIEGO,,52,2,252,150,13,137,,137,102,33,17,6,0,0,1,0,0,0,0,0,0,0,0,73,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,608,197,25,172,1,171,411,16,41,1,0,0,0,0,0,0,0,0,0,0,3,92,1,0,0,9,0,0,0,1,1,0,1,4,0,0,0,1
Bizkaia,SANTURTZI,,82,2,40438,16950,1444,15506,92,15414,23488,6353,2789,827,5,0,2,1,12,1,1,6,3,0,38,4741,13,0,0,481,4,0,11,3,10,7,1,52,3,1,11,38
Gipuzkoa,SEGURA,,70,3,1012,626,220,406,7,399,386,13,9,7,0,0,0,0,0,0,0,0,0,0,3,174,0,0,0,191,1,0,0,0,1,0,0,0,0,0,0,0
Bizkaia,SESTAO,,84,2,26673,10924,818,10106,53,10053,15749,4350,1842,646,5,3,1,3,14,0,2,2,4,1,31,2764,13,4,1,268,2,0,8,2,12,4,0,23,3,2,6,37
Bizkaia,SONDIKA,,904,4,3538,2024,179,1845,7,1838,1514,281,202,41,0,1,0,0,0,0,0,0,0,0,7,1210,0,0,0,81,1,0,3,1,0,1,1,6,0,0,1,1
Bizkaia,SOPELA,,85,4,9009,4022,645,3377,19,3358,4987,685,348,216,1,0,2,0,0,0,1,1,0,1,28,1819,2,0,0,213,0,0,2,0,2,1,1,9,1,0,0,25
Bizkaia,SOPUERTA,,86,2,1965,980,90,890,3,887,985,169,98,34,0,0,0,1,1,0,0,0,0,0,4,398,0,0,0,171,0,0,0,0,2,0,0,4,0,0,1,4
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3493,1715,387,1328,7,1321,1778,308,241,26,0,2,0,0,0,0,0,0,0,0,26,559,0,2,0,133,0,0,0,0,1,3,0,7,5,0,0,8
Bizkaia,SUKARRIETA,,76,4,324,210,43,167,1,166,114,9,13,3,0,0,0,0,0,0,0,0,0,0,4,112,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,TOLOSA,,71,3,14767,6011,1431,4580,33,4547,8756,857,671,214,0,19,2,1,5,1,1,0,0,0,179,1743,3,15,0,780,2,0,4,7,0,3,2,16,5,0,2,15
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,466,238,15,223,,223,228,27,40,2,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0
Bizkaia,UBIDE,,88,3,136,91,37,54,,54,45,2,7,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3428,1697,337,1360,4,1356,1731,301,156,45,0,1,0,0,3,0,0,0,0,0,10,727,3,0,0,98,0,0,2,0,2,0,0,6,1,0,0,1
Bizkaia,URDULIZ,,89,4,2647,1386,234,1152,8,1144,1261,193,93,41,1,0,0,0,2,0,0,0,0,0,6,686,2,0,0,112,0,0,0,0,0,0,0,2,0,0,3,3
Bizkaia,URDUÑA/ORDUÑA,,74,3,3344,1683,254,1429,5,1424,1661,195,244,42,2,0,0,1,1,1,0,0,0,0,25,818,0,1,0,79,0,0,1,0,0,0,1,7,0,0,1,5
Álava,URKABUSTAIZ,,54,2,772,372,101,271,1,270,400,43,66,6,0,1,0,0,0,0,0,0,0,0,1,132,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2
Gipuzkoa,URNIETA,,72,1,4542,1726,304,1422,7,1415,2816,536,204,89,2,1,1,0,1,1,0,0,0,0,22,435,2,1,0,110,0,0,1,0,1,1,0,4,0,0,2,1
Gipuzkoa,URRETXU,,77,3,5544,2692,502,2190,18,2172,2852,645,256,88,0,0,0,0,0,0,0,1,11,0,44,612,5,2,0,481,0,0,0,0,0,3,0,9,1,0,5,9
Gipuzkoa,USURBIL,,73,1,4581,1929,658,1271,9,1262,2652,277,116,45,0,0,0,0,0,0,0,0,0,0,112,436,1,0,0,263,0,0,0,1,0,2,0,7,0,1,0,1
Álava,VALDEGOVÍA/GAUBEA,,55,2,934,476,30,446,1,445,458,79,170,15,0,0,0,0,0,0,0,0,0,0,2,152,0,0,0,14,0,0,0,0,0,1,1,9,0,0,0,2
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10817,4983,409,4574,26,4548,5834,1961,523,298,1,0,1,0,3,0,1,0,0,0,13,1556,10,1,0,150,0,0,3,0,2,1,1,12,1,0,3,7
Gipuzkoa,VILLABONA,,75,3,4649,1810,517,1293,14,1279,2839,285,166,49,0,1,0,0,0,0,0,0,1,0,29,514,2,0,0,211,0,1,2,2,0,2,2,4,0,0,0,8
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,275,186,20,166,1,165,89,18,40,3,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0
Álava,VITORIA-GASTEIZ,,59,1,183426,77805,4839,72966,468,72498,105621,25564,24166,3040,47,9,43,17,70,19,11,24,25,16,609,13728,112,11,11,3736,14,17,131,39,45,43,11,499,26,5,61,349
Álava,YÉCORA/IEKORA,,60,2,230,150,1,149,,149,80,26,76,2,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ZALDIBAR,,95,3,2394,1096,194,902,7,895,1298,280,158,33,0,1,0,0,6,0,1,0,1,0,9,356,0,1,0,40,1,0,0,1,0,0,0,5,0,0,0,2
Gipuzkoa,ZALDIBIA,,78,3,1217,694,383,311,1,310,523,36,14,8,0,0,0,0,0,0,0,0,0,0,90,117,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,2
Álava,ZALDUONDO,,61,2,136,89,14,75,2,73,47,14,8,5,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
Bizkaia,ZALLA,,96,2,6649,3939,239,3700,16,3684,2710,633,304,103,0,0,0,1,2,2,0,0,0,0,24,2412,2,0,0,177,0,1,1,0,1,3,0,6,1,0,2,9
Álava,ZAMBRANA,,62,2,316,185,6,179,,179,131,29,62,3,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,0
Bizkaia,ZAMUDIO,,905,4,2697,1424,233,1191,4,1187,1273,202,120,26,0,0,0,0,1,0,0,0,0,0,7,775,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0
Bizkaia,ZARATAMO,,97,3,1359,689,116,573,4,569,670,140,56,15,0,0,0,0,0,0,0,1,0,0,6,253,0,0,0,84,0,0,1,0,2,1,1,8,0,0,1,0
Gipuzkoa,ZARAUTZ,,79,4,17355,7789,1294,6495,32,6463,9566,1223,899,216,0,1,0,0,3,1,0,0,0,0,269,2300,2,0,0,1494,2,4,1,2,2,5,0,18,3,0,1,17
Bizkaia,ZEANURI,,24,3,999,653,114,539,4,535,346,14,17,0,0,0,0,0,0,0,0,0,0,0,14,404,1,0,0,81,0,0,0,0,0,3,0,0,0,0,0,1
Bizkaia,ZEBERIO,,25,3,876,513,143,370,2,368,363,15,13,11,0,0,0,0,0,0,0,0,0,0,6,303,0,0,0,13,0,0,0,0,0,3,0,4,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1102,668,179,489,3,486,434,6,10,2,0,0,0,0,0,0,0,0,0,0,11,157,0,0,0,297,0,0,0,0,0,1,0,1,0,0,1,0
Gipuzkoa,ZERAIN,,26,3,214,145,60,85,,85,69,1,0,0,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2612,1320,452,868,4,864,1292,45,30,14,0,0,0,0,0,0,0,0,0,0,27,535,0,0,0,210,0,0,0,0,0,1,0,1,0,0,0,1
Bizkaia,ZIERBENA,,913,2,1108,581,77,504,4,500,527,70,38,16,0,0,1,0,0,0,0,1,0,0,3,339,0,0,0,26,0,0,0,0,0,1,0,3,0,0,1,1
Álava,ZIGOITIA,,18,2,1122,509,99,410,7,403,613,81,62,18,0,0,0,0,0,0,0,0,0,0,4,159,0,0,0,69,0,0,0,0,0,2,0,6,0,0,0,2
Gipuzkoa,ZIZURKIL,,28,3,2285,879,284,595,5,590,1406,146,83,22,0,0,1,0,0,0,0,0,0,1,16,239,0,0,0,72,0,0,1,3,0,1,0,2,0,0,0,3
Álava,ZUIA,,63,2,1704,834,113,721,3,718,870,123,161,21,2,0,1,1,0,0,0,0,0,0,9,319,0,0,0,68,0,1,0,4,0,1,0,3,0,0,0,4
Gipuzkoa,ZUMAIA,,81,4,7039,3071,601,2470,12,2458,3968,591,232,103,1,0,1,0,0,0,2,1,2,0,55,1080,0,0,0,369,0,0,0,0,2,0,1,8,1,0,3,6
Gipuzkoa,ZUMARRAGA,,80,3,8501,3908,508,3400,25,3375,4593,1300,494,150,0,1,2,0,3,0,0,2,4,0,33,819,2,0,0,495,1,0,3,1,3,4,0,35,1,0,7,15
